stabilimetre  stabilimetre	Nom:Mas+SG
abacule	abacule	Nom:Mas+SG
abaissa	abaisser	Ver:IPSim+SG+P3
mecontentassent	mecontenter	Ver:SImp+PL+P3
mecontentassions	mecontenter	Ver:SImp+PL+P1
mecontentates	mecontenter	Ver:IPSim+PL+P2
excellence	excellence	Nom:Fem+SG
grippasse	gripper	Ver:SImp+SG+P1
grippassent	gripper	Ver:SImp+PL+P3
grippasses	gripper	Ver:SImp+SG+P2
exceptant	excepter	Ver:PPre
exceptas	excepter	Ver:IPSim+SG+P2
abaissable	abaissable	Adj:InvGen+SG
abaissai	abaisser	Ver:IPSim+SG+P1
stabilisaient	stabiliser	Ver:IImp+PL+P3
stabilisais	stabiliser	Ver:IImp+SG+P1:IImp+SG+P2
stabilisai	stabiliser	Ver:IPSim+SG+P1
stabilisait	stabiliser	Ver:IImp+SG+P3
stabilisames	stabiliser	Ver:IPSim+PL+P1
stabilisant	stabilisant	Adj:Mas+SG
stabilisant	stabilisant	Nom:Mas+SG
stabilisant	stabiliser	Ver:PPre
stabilisassent	stabiliser	Ver:SImp+PL+P3
acrement	acrement	Adv
